ID,name,name2,typ,role,role2,Verwandtschaft,place,state,polit,beruf,spezifik,sex,institution,institution2,family,,,,,,,,,
A1119,der Slebitzer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A112,Wilhelm Derrer,,Person,,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1458-1460,,,,,,,,
A1120,der Vogel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1121,der Volland,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1122,der Zachs,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1123,die Bürglin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1124,die Burkhartin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1125,die Eitelholzin,,Person,Bürger zu N.,,Frau Peters,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1126,die Harsdorferin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1127,die Heldin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1128,die Kunherin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1129,die Munch,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A113,Wilhelm Ebner,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1450-1453,,,,,,,,
A1130,die Regenbogen,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1131,die Speirer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1133,die Tintner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1134,Dietmar Rot,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1135,Dietz Keyser,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1136,Eberhard Rodel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1137,Eberlin Henlin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1138,Ekarius Hirschvogel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
